"Date","Price","Open","High","Low","Vol.","Change %"
"02/17/2019","157.51","122.66","159.39","122.61","","28.41%"
"02/10/2019","122.66","119.15","126.29","115.93","","2.83%"
"02/03/2019","119.28","110.49","122.74","101.55","","7.98%"
"01/27/2019","110.47","115.51","115.80","101.09","","-4.37%"
"01/20/2019","115.51","122.61","123.23","111.49","","-5.79%"
"01/13/2019","122.61","123.37","129.30","112.13","","-0.63%"
"01/06/2019","123.39","152.86","157.37","120.50","","-19.28%"
"12/30/2018","152.85","132.88","159.00","128.71","","15.34%"
"12/23/2018","132.52","115.20","157.21","110.90","","15.00%"
"12/16/2018","115.23","83.85","118.10","83.75","","37.43%"
"12/09/2018","83.85","90.26","98.68","81.63","","-7.13%"
"12/02/2018","90.29","118.07","120.45","81.20","","-23.53%"
"11/25/2018","118.07","114.87","127.13","102.61","","2.65%"
"11/18/2018","115.02","176.37","182.38","111.77","","-34.78%"
"11/11/2018","176.37","213.22","214.32","171.46","","-17.28%"
"11/04/2018","213.22","200.44","224.37","198.77","","6.38%"
"10/28/2018","200.44","204.23","205.56","193.25","","-1.86%"
"10/21/2018","204.23","208.08","211.85","202.38","","-1.85%"
"10/14/2018","208.08","201.25","237.83","194.68","","3.24%"
"10/07/2018","201.55","224.38","232.00","189.30","","-10.17%"
"09/30/2018","224.38","231.31","238.06","216.20","","-2.92%"
"09/23/2018","231.11","241.47","249.39","203.75","","-4.27%"
"09/16/2018","241.43","222.10","254.77","192.65","","8.62%"
"09/09/2018","222.28","196.61","226.86","167.78","","13.15%"
"09/02/2018","196.45","295.31","299.38","190.63","","-33.60%"
"08/26/2018","295.87","277.70","302.45","269.67","","6.54%"
"08/19/2018","277.70","293.97","306.65","259.91","","-5.54%"
"08/12/2018","294.01","318.12","326.88","250.36","","-7.58%"
"08/05/2018","318.12","407.29","413.33","305.00","","-21.89%"
"07/29/2018","407.29","468.39","472.24","397.26","","-13.04%"
"07/22/2018","468.39","460.25","484.96","442.09","","1.56%"
"07/15/2018","461.19","433.19","515.00","431.16","","6.47%"
